RUN	SPLIT.OmsSplit	omssplit	1692055870232	 	3.9.5
ERROR	post test 2: Failed to build request: No baseUrl defined but provided url is relative : /order-split-api/api/v1/split 	1692055871482
ERROR	post test 5: Failed to build request: No baseUrl defined but provided url is relative : /order-split-api/api/v1/split 	1692055871482
ERROR	post test 4: Failed to build request: No baseUrl defined but provided url is relative : /order-split-api/api/v1/split 	1692055871482
ERROR	post test 6: Failed to build request: No baseUrl defined but provided url is relative : /order-split-api/api/v1/split 	1692055871482
ERROR	post test 7: Failed to build request: No baseUrl defined but provided url is relative : /order-split-api/api/v1/split 	1692055871482
ERROR	post test 8: Failed to build request: No baseUrl defined but provided url is relative : /order-split-api/api/v1/split 	1692055871482
ERROR	post test 1: Failed to build request: No baseUrl defined but provided url is relative : /order-split-api/api/v1/split 	1692055871482
ERROR	post test 9: Failed to build request: No baseUrl defined but provided url is relative : /order-split-api/api/v1/split 	1692055871482
ERROR	post test 3: Failed to build request: No baseUrl defined but provided url is relative : /order-split-api/api/v1/split 	1692055871482
USER	Test 5	START	1692055871495
USER	Test 1 - Mode Express avec Réservation & SGID	START	1692055871495
USER	Test 7	START	1692055871495
USER	Test 2 - Mode Express avec Réservation & Génération d'ID	START	1692055871495
USER	Test 6	START	1692055871495
USER	Test 9	START	1692055871495
USER	Test 4	START	1692055871495
USER	Test 8	START	1692055871495
USER	Test 3	START	1692055871496
USER	Test 10	START	1692055871504
USER	Test 3	END	1692055872499
USER	Test 5	END	1692055872500
USER	Test 8	END	1692055872500
USER	Test 9	END	1692055872500
USER	Test 2 - Mode Express avec Réservation & Génération d'ID	END	1692055872500
USER	Test 7	END	1692055872500
USER	Test 1 - Mode Express avec Réservation & SGID	END	1692055872500
USER	Test 4	END	1692055872501
USER	Test 6	END	1692055872501
REQUEST		post test 10	1692055871503	1692055881506	KO	i.n.c.ConnectTimeoutException: connection timed out: ws-oms-pp.galerieslafayette.com/195.28.204.234:443
USER	Test 10	END	1692055882517
